,,,Overall,Overall,Overall,Conference,Conference,Conference,,,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Pts,Pts,SRS,SOS,AP Curr,AP Pre,AP High,Notes
103,Arizona,Pac-12 (South),3,9,.250,1,8,.111,24.8,38.3,-4.57,5.27,,,,
104,Florida,SEC (East),9,4,.692,6,2,.750,23.9,16.8,11.12,4.89,20,25,10,
105,Tennessee,SEC (East),9,4,.692,4,4,.500,36.4,28.8,10.71,4.56,,9,9,
106,Georgia,SEC (East),8,5,.615,4,4,.500,24.5,24.0,3.70,2.62,,18,9,
107,Kentucky,SEC (East),7,6,.538,4,4,.500,30.0,31.3,2.41,2.88,,,,
108,South Carolina,SEC (East),6,7,.462,3,5,.375,20.8,26.5,-0.92,2.00,,,,
109,Vanderbilt,SEC (East),6,7,.462,3,5,.375,23.0,24.0,3.26,3.11,,,,
110,Missouri,SEC (East),4,8,.333,2,6,.250,31.4,31.5,-2.42,2.66,,,,
111,Alabama,SEC (West),14,0,1.000,8,0,1.000,39.4,11.4,26.65,6.50,1,1,1,
112,Louisiana State,SEC (West),8,4,.667,5,3,.625,28.3,15.8,16.09,6.01,19,5,5,
113,Auburn,SEC (West),8,5,.615,5,3,.625,31.2,17.1,12.05,5.59,17,,8,
114,Texas A&M,SEC (West),8,5,.615,4,4,.500,34.8,24.5,8.93,3.93,,,6,
115,Arkansas,SEC (West),7,6,.538,3,5,.375,30.3,31.1,4.50,4.50,,,16,
116,Mississippi State,SEC (West),6,7,.462,3,5,.375,30.4,31.8,1.84,2.92,,,,
117,Mississippi,SEC (West),5,7,.417,2,6,.250,32.6,34.0,4.89,5.98,,11,11,
118,Appalachian State,Sun Belt,10,3,.769,7,1,.875,29.2,17.8,8.86,-2.84,,,,
119,Georgia Southern,Sun Belt,5,7,.417,4,4,.500,26.6,26.5,-4.37,-2.37,,,,
120,Arkansas State,Sun Belt,8,5,.615,7,1,.875,27.3,21.5,-0.53,-5.61,,,,
121,Troy,Sun Belt,10,3,.769,6,2,.750,33.7,22.1,4.06,-4.71,,,25,
122,Idaho,Sun Belt,9,4,.692,6,2,.750,30.8,31.3,-1.16,-3.77,,,,
123,Louisiana-Lafayette,Sun Belt,6,7,.462,5,3,.625,23.6,25.3,-6.14,-4.91,,,,
124,Louisiana-Monroe,Sun Belt,4,8,.333,3,5,.375,23.3,39.1,-11.94,-2.52,,,,
125,South Alabama,Sun Belt,6,7,.462,2,6,.250,25.4,27.0,-5.77,-5.23,,,,
126,Georgia State,Sun Belt,3,9,.250,2,6,.250,19.9,26.6,-9.34,-3.18,,,,
127,New Mexico State,Sun Belt,3,9,.250,2,6,.250,24.8,38.8,-12.83,-2.25,,,,
128,Texas State,Sun Belt,2,10,.167,0,8,.000,18.6,41.1,-18.82,-3.32,,,,
