,,,Overall,Overall,Overall,Conference,Conference,Conference,Pts/G,Pts/G,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Own,Opp,SRS,SOS,AP Pre,AP High,AP Post,Notes
,,,Overall,Overall,Overall,Conference,Conference,Conference,Pts/G,Pts/G,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Own,Opp,SRS,SOS,AP Pre,AP High,AP Post,Notes
80,Boise State,MWC (Mountain),6,2,.750,3,1,.750,38.0,17.3,7.17,-3.83,23,20,,
81,Air Force,MWC (Mountain),4,3,.571,3,1,.750,32.6,22.9,-0.05,-4.62,,,,
82,Utah State,MWC (Mountain),4,3,.571,3,1,.750,28.3,24.3,2.78,-0.36,,,,
83,New Mexico,MWC (Mountain),4,4,.500,2,2,.500,29.9,28.0,-12.16,-9.53,,,,
84,Colorado State,MWC (Mountain),3,4,.429,1,2,.333,29.7,27.3,-4.13,-3.13,,,,
85,Wyoming,MWC (Mountain),1,7,.125,1,3,.250,19.5,32.3,-17.14,-4.39,,,,
,,,,,,,,,,,,,,,,
86,San Diego State,MWC (West),5,3,.625,4,0,1.000,27.4,18.9,1.84,-4.66,,,,
87,San Jose State,MWC (West),4,4,.500,3,2,.600,27.6,27.6,-7.38,-6.50,,,,
88,Nevada,MWC (West),4,4,.500,2,2,.500,25.6,26.8,-6.80,-6.05,,,,
89,Nevada-Las Vegas,MWC (West),2,5,.286,1,2,.333,28.3,27.4,-6.14,-1.00,,,,
90,Fresno State,MWC (West),2,6,.250,1,4,.200,21.0,40.9,-12.88,-0.01,,,,
91,Hawaii,MWC (West),2,6,.250,0,4,.000,17.0,31.8,-9.40,-0.03,,,,
,,,Overall,Overall,Overall,Conference,Conference,Conference,Pts/G,Pts/G,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Own,Opp,SRS,SOS,AP Pre,AP High,AP Post,Notes
92,Stanford,Pac-12 (North),6,1,.857,5,0,1.000,37.4,20.6,18.87,4.01,21,8,,
93,Washington State,Pac-12 (North),5,2,.714,3,1,.750,36.4,31.0,3.09,-3.34,,,,
94,California,Pac-12 (North),5,2,.714,2,2,.500,37.9,26.7,10.95,4.37,,20,,
95,Oregon,Pac-12 (North),4,3,.571,2,2,.500,39.3,36.0,4.89,0.75,7,7,,
96,Washington,Pac-12 (North),3,4,.429,1,3,.250,24.0,18.9,7.22,6.22,,,,
97,Oregon State,Pac-12 (North),2,5,.286,0,4,.000,20.4,31.1,-6.38,2.33,,,,
,,,,,,,,,,,,,,,,
98,Utah,Pac-12 (South),6,1,.857,3,1,.750,34.7,22.7,16.62,7.05,,3,,
99,UCLA,Pac-12 (South),5,2,.714,2,2,.500,35.6,27.1,13.44,5.87,13,7,,
100,Arizona State,Pac-12 (South),4,3,.571,2,2,.500,29.1,27.3,6.00,3.71,15,15,,
101,Southern California,Pac-12 (South),4,3,.571,2,2,.500,38.9,21.7,17.23,8.23,8,6,,
102,Arizona,Pac-12 (South),5,3,.625,2,3,.400,41.8,32.4,3.02,-1.23,22,16,,
103,Colorado,Pac-12 (South),4,4,.500,1,3,.250,29.8,25.8,-3.29,-4.04,,,,
,,,Overall,Overall,Overall,Conference,Conference,Conference,Pts/G,Pts/G,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Own,Opp,SRS,SOS,AP Pre,AP High,AP Post,Notes
104,Florida,SEC (East),6,1,.857,4,1,.800,31.6,17.3,15.29,3.86,,8,,
105,Georgia,SEC (East),5,2,.714,3,2,.600,33.1,19.4,10.04,0.76,9,7,,
106,Kentucky,SEC (East),4,3,.571,2,3,.400,24.7,25.9,-0.31,0.97,,,,
107,Tennessee,SEC (East),3,4,.429,1,3,.250,33.9,24.7,13.18,9.32,25,23,,
